1598587,1600355,i
1657588,1659238,i
1661643,1663625,a
1664162,1666840,b
1670369,1672182,a
1672582,1675348,b
1676315,1678759,c
1680306,1684560,d
1686276,1688201,a
1688727,1691499,b
1694235,1695267,k
2195100,2196627,i
2199716,2201493,i
2204698,2206544,a
2207562,2210166,b
2212748,2214744,a
2215069,2217883,b
2218832,2221299,c
2222759,2227118,d
2228762,2230621,a
2231069,2233903,b
2235812,2236983,k
2241186,2243272,a
2243547,2246432,b
2247253,2249938,c
2251424,2255828,x
2257517,2259424,a
2259907,2262875,b
2303941,2305732,i
2309466,2311512,a
2312036,2314791,b
2315705,2318226,c
2319647,2323927,d
2325665,2327549,a
2327957,2330876,b
2332870,2333969,k
2336409,2338213,k
2339898,2344682,k
2347875,2349895,a
2350185,2352965,b
2353779,2356509,c
2357919,2362288,d
2364032,2366007,a
2366458,2369361,b
2409137,2410008,k
2413088,2414892,a
2415932,2418343,b
2420917,2422853,a
2423290,2426119,b
2426928,2429533,c
2431076,2435362,d
2436941,2438919,a
2439290,2442195,b
2444319,2445528,k
2448110,2449898,k
2451732,2456715,k
2459787,2461702,a
2462144,2465015,b
2465951,2468447,c
2470136,2474556,d
2476199,2478122,a
2478606,2481445,b
2915417,2917074,i
2919244,2921168,i
2923423,2925437,a
2926035,2928837,b
2930942,2932954,a
2933267,2936184,b
2937034,2939613,c
2941037,2945424,d
2947048,2948926,a
2949415,2952227,b
2954119,2955312,k
2958101,2960004,a
2961557,2966323,b
2969006,2970926,a
2971358,2974218,b
2975018,2977669,c
2979138,2983614,d
2985257,2987098,a
2987606,2990500,b
3015667,3017436,a
3018196,3020883,b
3023458,3025421,a
3025877,3028709,b
3029513,3032039,c
3033534,3037963,d
3039504,3041378,a
3041848,3044746,b
3046764,3047908,k
3050135,3051971,k
3053997,3058781,k
3062667,3064625,a
3065054,3067896,b
3068717,3071343,c
3072638,3077037,d
3113071,3114862,i
3117740,3119714,a
3120260,3123080,b
3126656,3128071,i
3132371,3134195,a
3134592,3137434,b
3138234,3140794,c
3142230,3146611,d
3148224,3150124,a
3150565,3153399,b
3155696,3156867,k
3159168,3160952,i
3332574,3334347,i
3337423,3339312,i
3343942,3345847,a
3346644,3349363,b
3351573,3353610,a
3354000,3356691,b
3357593,3359986,c
3361639,3365937,d
3367494,3369488,a
3369950,3372843,b
3374595,3375740,k
3528058,3529740,i
3531975,3533897,a
3534571,3537302,b
3539699,3541658,a
3541992,3544853,b
3545605,3548265,c
3549695,3553967,d
3555473,3558226,k
3559101,3562079,k
3563068,3566021,k
3567142,3570083,k
3571061,3574152,k
3576688,3577841,k
3580827,3582487,k
3586676,3588569,a
3589053,3591822,b
3592604,3595194,c
3596763,3601117,d
3602854,3604683,a
3605163,3608078,b
4417648,4419422,i
4422627,4424478,i
4427374,4429383,a
